ds,yhat,yhat_lower,yhat_upper
2022-02-07,2765406.9320068546,2664983.898188325,2865206.4965261016
2022-02-08,2689259.7446504305,2591444.186561724,2786424.971129309
2022-02-09,2611957.1213535094,2514350.9952330044,2711499.1889984175
2022-02-10,2533808.876942551,2436677.6524121123,2627724.2304628994
2022-02-11,2454643.4707688177,2352312.4598084423,2555939.4802270797
2022-02-12,2377108.244295124,2283146.800466471,2471620.1847900525
2022-02-13,2299771.70840886,2198836.7303062216,2394552.136642383
2022-02-14,2224004.573808289,2121352.221705143,2324318.1683268985
2022-02-15,2150039.2763813986,2052428.7787773297,2254847.488266264
2022-02-16,2078802.274612586,1969654.1021538037,2177312.499656317
2022-02-17,2010619.2203674081,1906941.1406544112,2110701.357538125
2022-02-18,1945289.2745020906,1852964.3008509402,2047714.8995390555
2022-02-19,1885494.1708702417,1784923.024837442,1984504.0468045915
2022-02-20,1829662.8467813914,1731440.929572427,1924302.5863185762
2022-02-21,1779083.3789956137,1682478.8046653236,1873701.3644718549
2022-02-22,1733826.2565267112,1639397.2200872917,1831924.8868053523
2022-02-23,1694636.301125436,1588831.7634679792,1795485.465204601
2022-02-24,1661593.0786054067,1561779.290204407,1761791.3803525928
2022-02-25,1634187.4704522511,1534059.031999361,1733772.9574898747
2022-02-26,1614842.9318940989,1513982.8622754372,1710140.3941105634
2022-02-27,1601546.7903479415,1498153.561859287,1702528.6056092267
2022-02-28,1595198.302804787,1499116.3261021634,1698761.9987353
2022-03-01,1595401.681625155,1499600.944852525,1693809.479930436
2022-03-02,1579559.0298588846,1482958.828321995,1672531.1860285236
2022-03-03,1569910.7746909473,1472876.169216682,1667944.6697582824
2022-03-04,1565160.0568485258,1465985.0977435817,1661606.8776516786
2022-03-05,1566917.9661857702,1463833.7014408312,1665937.1162740495
2022-03-06,1572432.3777225383,1474972.2485518013,1672320.4404335353
2022-03-07,1581858.406568514,1488620.580523951,1678038.1763570628
2022-03-08,1594142.0446617196,1495056.5018500662,1695257.3986662137
2022-03-09,1608914.5266930778,1505682.8925780437,1709628.2115144448
2022-03-10,1625208.6711604684,1529584.147415633,1724939.5111099998
2022-03-11,1641590.5209877104,1537533.1750661929,1739843.1783263686
2022-03-12,1659394.8451109894,1562528.8539180798,1763163.8392773522
2022-03-13,1675974.982335513,1582400.0679168166,1774471.4294045537
2022-03-14,1691457.9066286078,1581875.1631585665,1789000.6391033737
