ds,yhat,yhat_lower,yhat_upper,Country
2021-05-17,322129.65311430075,314550.1322607739,329902.3416233406,India
2021-05-18,310238.23523292376,302477.939917802,317525.01797521254,India
2021-05-19,298514.0346590186,290818.91826865403,306257.7198341707,India
2021-05-20,286687.57364897546,278948.5233215783,294905.37682442134,India
2021-05-21,274833.5589642465,267110.19368029747,282678.49607463635,India
2021-05-22,263528.2415541632,255738.98130004728,271116.2562556058,India
2021-05-23,252270.28978897678,244311.2122179857,259877.30805995088,India
2021-05-24,241170.19269129093,233866.32105076237,248995.16775117244,India
2021-05-25,230244.9490256905,222581.88958888646,238119.86736712785,India
2021-05-26,219749.96763566724,212016.03462361472,227855.5555476822,India
2021-05-27,209409.19794622867,201441.66308676143,218115.5012657169,India
2021-05-28,199266.29508565867,191301.61441148716,206472.08686202086,India
2021-05-29,189829.06401477306,181873.447940061,197195.0434268608,India
2021-05-30,180608.58479154433,172884.16372133282,187701.69786070235,India
2021-05-31,171683.3285376566,164426.6784635816,179591.2818384335,India
2021-06-01,163046.32651636266,155022.5177557064,170810.77938444147,India
2021-06-02,154911.51620544842,146956.56029942408,161975.47522495306,India
2021-06-03,147004.1338149673,139594.7589702629,154884.78888287317,India
2021-06-04,139345.9079980924,131765.4359887826,147041.09649420745,India
2021-06-05,132386.393214726,124642.7225291057,140092.58667628502,India
2021-06-06,125660.15736251259,118663.50138426083,133300.26789754746,India
2021-06-07,119225.42556480128,111482.37891678425,127379.13452975127,India
2021-06-08,113063.54826616931,105208.9182463509,120039.69356209763,India
2021-06-09,107359.61535290488,99859.36254127619,115045.07793714086,India
2021-06-10,101852.93589836144,94500.65848410438,109829.38439207077,India
2021-06-11,96556.08858515361,89131.2146945695,103477.79642149962,India
2021-06-12,91872.97580466572,84376.66240577943,99756.56746510336,India
2021-06-13,87373.9095070437,79998.4538461758,94643.35150821951,India
2021-06-14,83108.62449127669,75945.48170833582,90808.2045815736,India
2021-06-15,79057.89497548886,71430.76824875639,86435.81465299195,India
2021-06-16,75388.27635578737,68140.90531128971,83083.88118152316,India
2021-06-17,71862.30051386723,63959.964720400596,80283.82905821707,India
2021-06-18,68492.01903787325,61069.69160327218,76313.68173317942,India
2021-06-19,65642.91609589335,58173.77009284991,72839.33762729896,India
2021-06-20,62927.090449629,54564.03490028855,70828.68235463662,India
